ID,Source,DriftRateMax,Nevent,FreqMid,DriftBW,DriftRates,Freqs,FileID
681,HIP36439,0.028699000000000002,1,2210.9996309999997,0.0005,[-0.028699],[2210.999631],spliced_blc0001020304050607_guppi_57708_30344_HIP36439_0039.gpuspec.0000.h5
682,HIP96229,0.028699000000000002,1,2186.095829,0.0005,[0.028699],[2186.095829],spliced_blc0001020304050607_guppi_57867_38834_HIP96229_0014.gpuspec.0000.h5
683,HIP98204,0.095665,1,2208.952355,0.0005,[0.095665],[2208.952355],spliced_blc1011121314151617_guppi_57929_20308_HIP98204_0008.gpuspec.0000.h5
684,HIP19832,0.066965,1,2104.919851,0.0005,[-0.066965],[2104.919851],spliced_blc0001020304050607_guppi_57708_19841_HIP19832_0009.gpuspec.0000.h5
685,HIP19832,0.066965,1,2105.019135,0.0005,[-0.066965],[2105.019135],spliced_blc0001020304050607_guppi_57708_19841_HIP19832_0009.gpuspec.0000.h5
686,HIP19832,0.066965,1,2106.0571,0.0005,[-0.066965],[2106.0571],spliced_blc0001020304050607_guppi_57708_19841_HIP19832_0009.gpuspec.0000.h5
687,HIP19832,0.066965,1,2106.369993,0.0005,[-0.066965],[2106.369993],spliced_blc0001020304050607_guppi_57708_19841_HIP19832_0009.gpuspec.0000.h5
688,HIP47300,0.019133,1,2181.598277,0.0005,[-0.019133],[2181.598277],spliced_blc1011121314151617_guppi_57866_73672_HIP47300_0053.gpuspec.0000.h5
689,HIP81348,0.019133,1,2196.485652,0.0005,[0.019133],[2196.485652],spliced_blc3031323334353637_guppi_57915_28238_HIP81348_0032.gpuspec.0000.h5
690,HIP98204,0.019133,1,2198.362164,0.0005,[0.019133],[2198.362164],spliced_blc1011121314151617_guppi_57929_20308_HIP98204_0008.gpuspec.0000.h5
691,HIP19849,0.047832,1,2193.54448,0.0005,[-0.047832],[2193.54448],spliced_blc0001020304050607_guppi_57708_21879_HIP19849_0015.gpuspec.0000.h5
692,HIP22263,0.057399,1,2190.6390690000003,0.0005,[-0.057399],[2190.639069],spliced_blc0001020304050607_guppi_57708_28024_HIP22263_0033.gpuspec.0000.h5
693,HIP47300,0.009566,1,1838.364782,0.0005,[-0.009566],[1838.364782],spliced_blc1011121314151617_guppi_57866_73672_HIP47300_0053.gpuspec.0000.h5
694,HIP8486,0.028699000000000002,1,2251.4872649999998,0.0005,[-0.028699],[2251.487265],spliced_blc1011121314151617_guppi_57866_67149_HIP8486_0035.gpuspec.0000.h5
695,HIP114379,0.019133,1,2198.354445,0.0005,[0.019133],[2198.354445],spliced_blc3031323334353637_guppi_57915_34646_HIP114379_0050.gpuspec.0000.h5
